corporation_id,corporation_code,display_name,expansion_code,existing_logo_path,background,effective_source,proposed_object_name,sha256,tile_w,tile_h,content_w,content_h,bytes
6c6e3e97-33c9-47e9-818b-3062abc4cd75,ares:athena,Athena,ares,Athena.png,white,zip:Athena.png,corporation-logo-a6dc6773ecb509660890991122edb44c262c33ceca8d5aa4ec99805b58354b09.png,a6dc6773ecb509660890991122edb44c262c33ceca8d5aa4ec99805b58354b09,800,800,720,164,140302
dfacfda4-6d7e-4f48-8b70-f54a3589be66,ares:eris,Eris,ares,Eris.png,white,zip:Eris.png,corporation-logo-a1d01e169fd5b850a382bf3c8352c70d7293d28623a5ed3a3fd7f7c928210f08.png,a1d01e169fd5b850a382bf3c8352c70d7293d28623a5ed3a3fd7f7c928210f08,800,800,720,280,67717
ef2f0a91-ae96-4f1e-870d-7dba8fe27e8e,base:beginner-corporation,Beginner Corporation,base,Beginner_Corporation.png,white,zip:Beginner_Corporation.png,corporation-logo-b189882c70507c841c8567ac5f44737747b762b7d0e7f616b1ac213d92d28dcc.png,b189882c70507c841c8567ac5f44737747b762b7d0e7f616b1ac213d92d28dcc,800,800,720,41,41793
c0b8869c-ccf8-41cd-b3f4-ebccb5cbcdfd,base:credicor,CrediCor,base,Creditcor.png,black,zip:Creditcor.png,corporation-logo-fc76d416bb5db8594c6cbef2a7cf922f38d308fa24970f59ed62e7995595a26a.png,fc76d416bb5db8594c6cbef2a7cf922f38d308fa24970f59ed62e7995595a26a,800,800,720,125,63649
893fcf4b-0334-4be7-8ed0-4c86053a7f3e,base:ecoline,Ecoline,base,Ecoline.png,white,zip:Ecoline.png,corporation-logo-3ef2716eae0cd154940094e0ffc72d2369281a52605b65818c906b8a7e6af13b.png,3ef2716eae0cd154940094e0ffc72d2369281a52605b65818c906b8a7e6af13b,800,800,720,183,76693
8e5a685b-e562-44de-9358-b900b542c425,base:helion,Helion,base,Helion.png,black,zip:Helion.png,corporation-logo-ea50e074669636373bf79c1598cbfd53279d678539d8946e51bf9acaec79cc34.png,ea50e074669636373bf79c1598cbfd53279d678539d8946e51bf9acaec79cc34,800,800,720,260,20603
34866c2b-e6c1-48d7-ba00-bbdca7d59000,base:interplanetary-cinematics,Interplanetary Cinematics,base,Interplanetary _Cinematics.png,white,zip:Interplanetary _Cinematics.png,corporation-logo-f9e4b83dcc8d6119e705695924a105099b1f188f9b3fb7ada003e04f34694707.png,f9e4b83dcc8d6119e705695924a105099b1f188f9b3fb7ada003e04f34694707,800,800,720,217,126493
55112e40-779f-4909-ba7c-9e11528101fb,base:inventrix,Inventrix,base,Inventrix.png,white,zip:Inventrix.png,corporation-logo-97d7fc6539938cb94c33a03edfa44a3b5ec3f30440c46a15f082b14043e075a7.png,97d7fc6539938cb94c33a03edfa44a3b5ec3f30440c46a15f082b14043e075a7,800,800,720,97,74829
7acf32fe-3e05-455e-91ae-8dc07f976d8c,base:mining-guild,Mining Guild,base,Mining Guild.png,white,zip:Mining_Guild.png,corporation-logo-3fa09bc23e48af8d346de5952d3034b084ebca1d26b34800ff4d27bf5f0aee8f.png,3fa09bc23e48af8d346de5952d3034b084ebca1d26b34800ff4d27bf5f0aee8f,800,800,720,241,54802
2627198e-eab2-433f-975f-4e6ebc39d3ff,base:phobolog,PhoboLog,base,PhoboLog.png,black,zip:Phobolog.png,corporation-logo-2da454ab3d53d9faacc88298f660846a40ebed3f40a9b0ba4b06fa1002feca9e.png,2da454ab3d53d9faacc88298f660846a40ebed3f40a9b0ba4b06fa1002feca9e,800,800,720,195,38839
5259d983-660b-4f91-87f2-41fe0deebfed,base:tharsis-republic,Tharsis Republic,base,Tharsis_Republic.png,white,zip:Tharsis_Republic.png,corporation-logo-91d85f9f4914f06932da1e75da18eaf2dec9a7cc87c42fbd62a6c97ab1806d77.png,91d85f9f4914f06932da1e75da18eaf2dec9a7cc87c42fbd62a6c97ab1806d77,800,800,720,679,338596
12daa156-7509-4197-8899-93fcb072cb6e,base:thorgate,ThorGate,base,Thorgate.png,black,override,corporation-logo-30eff9a6d7b4ae6fea646bf2621b8f75278b35b0970a9c6d478f04f9c9b21323.png,30eff9a6d7b4ae6fea646bf2621b8f75278b35b0970a9c6d478f04f9c9b21323,800,800,720,240,262892
d8ca3ed9-1d7e-473b-a8ba-5950193d8d14,base:united-nations-mars-initiative,United Nations Mars Initiative,base,United_Nations_Mars_Initiative.png,black,zip:United_Nations_Mars_Initiative.png,corporation-logo-f40efc99b906e6cbe5833a1d58ce18df1f77b6078182c6e30b5687a8b3d29823.png,f40efc99b906e6cbe5833a1d58ce18df1f77b6078182c6e30b5687a8b3d29823,800,800,720,246,109082
3fc15746-09b1-4a97-b6db-05218a59d778,colonies:aridor,Aridor,colonies,Aridor.png,black,override,corporation-logo-c0ac7676549338be49e6e5c00ebc4cbb961e73546471f76c9bb959c6f0b2d292.png,c0ac7676549338be49e6e5c00ebc4cbb961e73546471f76c9bb959c6f0b2d292,800,800,720,208,148444
3550d6a0-ae79-4215-908b-45cedd9f1783,colonies:arklight,Arklight,colonies,Arklight.png,white,zip:Arklight.png,corporation-logo-5a8e5e30b69b6c9dc0d6301a95b8cb26fc43225f1631c05779eac9b2c7b5a60f.png,5a8e5e30b69b6c9dc0d6301a95b8cb26fc43225f1631c05779eac9b2c7b5a60f,800,800,720,50,20511
3e1d3f5d-242b-4dda-a3ff-a1c2f35ade6c,colonies:polyphemos,Polyphemos,colonies,Polyphemos.png,white,zip:Polyphemos.png,corporation-logo-003be6f6cc3a5a4e365d69b204b0af7f48b44bbaca87bf0c9b8676cee9a3a83c.png,003be6f6cc3a5a4e365d69b204b0af7f48b44bbaca87bf0c9b8676cee9a3a83c,800,800,720,161,17414
56ab4c3f-3c42-4f39-9ce0-ccfda3123c60,colonies:poseidon,Poseidon,colonies,Poseidon.png,black,zip:Poseidon.png,corporation-logo-41d16ae15e34afa04f31d66d82566c6902bc3138abd1536c58929660024d935c.png,41d16ae15e34afa04f31d66d82566c6902bc3138abd1536c58929660024d935c,800,800,720,182,44976
fd3d9069-b257-4134-9c2e-d775354ac2a6,colonies:stormcraft-incorporated,Stormcraft Incorporated,colonies,Stormcraft_Incorporated.png,white,zip:Storm_Craft_Incorporated.png,corporation-logo-0d37c649a3fd187332a3667d373f4ee4f2f73b88a2bf5e70f5f88a05f5ff244e.png,0d37c649a3fd187332a3667d373f4ee4f2f73b88a2bf5e70f5f88a05f5ff244e,800,800,720,211,35629
b22a4a5a-6c0f-4220-9410-e4c8aa810971,community:aerotech,Aerotech,community,Aerotech.png,black,zip:Aerotech.png,corporation-logo-fa7183b8fcda49cf8b35f299398028b3393a2452d38cb7380b310dc34722421e.png,fa7183b8fcda49cf8b35f299398028b3393a2452d38cb7380b310dc34722421e,800,800,720,185,61622
