corporation_id,corporation_code,display_name,expansion_code,old_logo_path,old_object_status,new_object_name,new_background
6c6e3e97-33c9-47e9-818b-3062abc4cd75,ares:athena,Athena,ares,Athena.png,object-present,corporation-logo-a6dc6773ecb509660890991122edb44c262c33ceca8d5aa4ec99805b58354b09.png,white
dfacfda4-6d7e-4f48-8b70-f54a3589be66,ares:eris,Eris,ares,Eris.png,object-present,corporation-logo-a1d01e169fd5b850a382bf3c8352c70d7293d28623a5ed3a3fd7f7c928210f08.png,white
ef2f0a91-ae96-4f1e-870d-7dba8fe27e8e,base:beginner-corporation,Beginner Corporation,base,Beginner_Corporation.png,object-present,corporation-logo-b189882c70507c841c8567ac5f44737747b762b7d0e7f616b1ac213d92d28dcc.png,white
c0b8869c-ccf8-41cd-b3f4-ebccb5cbcdfd,base:credicor,CrediCor,base,Creditcor.png,object-present,corporation-logo-fc76d416bb5db8594c6cbef2a7cf922f38d308fa24970f59ed62e7995595a26a.png,black
893fcf4b-0334-4be7-8ed0-4c86053a7f3e,base:ecoline,Ecoline,base,Ecoline.png,object-present,corporation-logo-3ef2716eae0cd154940094e0ffc72d2369281a52605b65818c906b8a7e6af13b.png,white
8e5a685b-e562-44de-9358-b900b542c425,base:helion,Helion,base,Helion.png,object-present,corporation-logo-ea50e074669636373bf79c1598cbfd53279d678539d8946e51bf9acaec79cc34.png,black
34866c2b-e6c1-48d7-ba00-bbdca7d59000,base:interplanetary-cinematics,Interplanetary Cinematics,base,Interplanetary _Cinematics.png,object-present,corporation-logo-f9e4b83dcc8d6119e705695924a105099b1f188f9b3fb7ada003e04f34694707.png,white
55112e40-779f-4909-ba7c-9e11528101fb,base:inventrix,Inventrix,base,Inventrix.png,object-present,corporation-logo-97d7fc6539938cb94c33a03edfa44a3b5ec3f30440c46a15f082b14043e075a7.png,white
7acf32fe-3e05-455e-91ae-8dc07f976d8c,base:mining-guild,Mining Guild,base,Mining Guild.png,object-present,corporation-logo-3fa09bc23e48af8d346de5952d3034b084ebca1d26b34800ff4d27bf5f0aee8f.png,white
2627198e-eab2-433f-975f-4e6ebc39d3ff,base:phobolog,PhoboLog,base,PhoboLog.png,object-present,corporation-logo-2da454ab3d53d9faacc88298f660846a40ebed3f40a9b0ba4b06fa1002feca9e.png,black
5259d983-660b-4f91-87f2-41fe0deebfed,base:tharsis-republic,Tharsis Republic,base,Tharsis_Republic.png,object-present,corporation-logo-91d85f9f4914f06932da1e75da18eaf2dec9a7cc87c42fbd62a6c97ab1806d77.png,white
12daa156-7509-4197-8899-93fcb072cb6e,base:thorgate,ThorGate,base,Thorgate.png,object-present,corporation-logo-30eff9a6d7b4ae6fea646bf2621b8f75278b35b0970a9c6d478f04f9c9b21323.png,black
d8ca3ed9-1d7e-473b-a8ba-5950193d8d14,base:united-nations-mars-initiative,United Nations Mars Initiative,base,United_Nations_Mars_Initiative.png,object-present,corporation-logo-f40efc99b906e6cbe5833a1d58ce18df1f77b6078182c6e30b5687a8b3d29823.png,black
3fc15746-09b1-4a97-b6db-05218a59d778,colonies:aridor,Aridor,colonies,Aridor.png,object-present,corporation-logo-c0ac7676549338be49e6e5c00ebc4cbb961e73546471f76c9bb959c6f0b2d292.png,black
3550d6a0-ae79-4215-908b-45cedd9f1783,colonies:arklight,Arklight,colonies,Arklight.png,object-present,corporation-logo-5a8e5e30b69b6c9dc0d6301a95b8cb26fc43225f1631c05779eac9b2c7b5a60f.png,white
3e1d3f5d-242b-4dda-a3ff-a1c2f35ade6c,colonies:polyphemos,Polyphemos,colonies,Polyphemos.png,object-present,corporation-logo-003be6f6cc3a5a4e365d69b204b0af7f48b44bbaca87bf0c9b8676cee9a3a83c.png,white
56ab4c3f-3c42-4f39-9ce0-ccfda3123c60,colonies:poseidon,Poseidon,colonies,Poseidon.png,object-present,corporation-logo-41d16ae15e34afa04f31d66d82566c6902bc3138abd1536c58929660024d935c.png,black
fd3d9069-b257-4134-9c2e-d775354ac2a6,colonies:stormcraft-incorporated,Stormcraft Incorporated,colonies,Stormcraft_Incorporated.png,object-present,corporation-logo-0d37c649a3fd187332a3667d373f4ee4f2f73b88a2bf5e70f5f88a05f5ff244e.png,white
b22a4a5a-6c0f-4220-9410-e4c8aa810971,community:aerotech,Aerotech,community,Aerotech.png,object-present,corporation-logo-fa7183b8fcda49cf8b35f299398028b3393a2452d38cb7380b310dc34722421e.png,black
4b668015-2d93-4e03-a207-32589c00362a,community:agricola-inc,Agricola Inc,community,Agricola_Inc.png,object-present,corporation-logo-ab81af24c6cf60098c3de77910dfedb1c3735566c8bccdf04f2672213b19a4d6.png,white
e69e3d61-f8e4-4b8e-8191-e8c00bd36151,community:aristarchus,Aristarchus,community,Aristarchus.png,object-present,corporation-logo-8779a86a4f87c053dcf9943c6fcdb8105d7a1da48c0fe7f770a3349b10898749.png,white
9ed89703-a1f5-44d2-a632-366b60ac0573,community:athena,Athena,community,Athena.png,object-present,corporation-logo-a6dc6773ecb509660890991122edb44c262c33ceca8d5aa4ec99805b58354b09.png,white
f62d6b5a-e387-4f0b-ad36-0041d1decd99,community:bentenmaru,Bentenmaru,community,Bentenmaru.png,object-present,corporation-logo-ea5400c1d1f50a45d7247f58125df4e1839c5d647e31b035327fd5ca73d30abf.png,white
6f84f429-737c-4f91-95c5-eea86e2b7a57,community:colonial-one,Colonial One,community,Colonial_One.png,object-present,corporation-logo-33dfb53fa46f34a2e5d5c73ee248f6083151059d280ed5fa61bdbce7ba5ef26b.png,white
4f76f6fd-246c-41d0-a5b2-8cdd9484bcf0,community:curiosity-ii,Curiosity II,community,Curiosity_II.png,object-present,corporation-logo-4a11d51e25cd56611fb1970ecec8af95585f26ee728713ff397078406cd44d90.png,white
bd22d5de-eba2-4193-a065-2e54ee441767,community:eris,Eris,community,Eris.png,object-present,corporation-logo-a1d01e169fd5b850a382bf3c8352c70d7293d28623a5ed3a3fd7f7c928210f08.png,white
13fa0eca-ff83-40e3-8383-5d4bd2ac9e6e,community:faux-news,Faux News,community,Faux_News.png,object-present,corporation-logo-cd1ec3752a497e87f0568cd90740a4edb00e5554666d5ec9e2d65e9ec1c28c45.png,orange
e4f0864a-431c-490b-89c2-6e67e81c8c96,community:hotsprings,Hotsprings,community,Hotsprings.png,object-present,corporation-logo-041d09ec490399b581aad3de814fd00f4e66c5f27321b81eed3ac966822a7772.png,white
57330110-cbd5-4d6f-bd48-951584a7f83f,community:incite,Incite,community,Incite.png,object-present,corporation-logo-f56c43c63528d13683f38a2057bc1dae1afa26569a72ba846f11c1b554e8b88e.png,black
2b33f693-4def-4b10-b733-abb8f5063335,community:junk-ventures,Junk Ventures,community,Junk_Ventures.png,object-present,corporation-logo-108f8fee6b1035e7be38f09e66062bbdf2fda2829f6d88c02a061fd3096fbf5f.png,white
a5f17b9e-cd17-42e6-860e-536fb73ec37d,community:labour-union,Labour Union,community,Labour_Union.png,object-present,corporation-logo-486c982d3a92fe10a16f3219f9acbe00ef734ac879ccd686d22ce7d3114acfe0.png,white
e4706c74-64b5-4266-987c-fe13981d6982,community:marabout-shiritori,Marabout Shiritori,community,Marabout_Shiritori.png,object-missing,corporation-logo-1ca2ecc912394d4eb3cfc9783991c51480b3a920c4e7ede205470a0d03d0f231.png,white
